depth,leafs,time,rate
2.0,16.0,0.112,142.85714285714286
2.0,16.0,0.106,150.9433962264151
2.0,17.0,0.108,157.40740740740742
2.0,14.0,0.105,133.33333333333334
2.0,21.0,0.13,161.53846153846152
2.0,17.0,0.108,157.40740740740742
2.0,19.0,0.107,177.57009345794393
2.0,18.0,0.118,152.54237288135593
2.0,18.0,0.111,162.16216216216216
2.0,16.0,0.102,156.86274509803923
2.0,24.0,0.114,210.52631578947367
2.0,15.0,0.103,145.63106796116506
2.0,18.0,0.114,157.89473684210526
2.0,18.0,0.107,168.22429906542055
2.0,13.0,0.104,125.0
2.0,14.0,0.111,126.12612612612612
2.0,14.0,0.104,134.6153846153846
2.0,17.0,0.11,154.54545454545453
2.0,18.0,0.103,174.75728155339806
2.0,23.0,0.122,188.52459016393442
3.0,43.0,0.294,146.25850340136054
3.0,49.0,0.221,221.71945701357467
3.0,67.0,0.401,167.08229426433914
3.0,30.0,0.216,138.88888888888889
3.0,33.0,0.229,144.10480349344977
3.0,41.0,0.291,140.89347079037802
3.0,46.0,0.298,154.36241610738256
3.0,42.0,0.221,190.0452488687783
3.0,29.0,0.288,100.69444444444446
3.0,43.0,0.407,105.65110565110565
3.0,33.0,0.332,99.39759036144578
